City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Lavrentiya,RU,2020-04-16 08:14:19,65.58,-171.0,23.74,97,100,8.25
191,San Jeronimo,PE,2020-04-16 08:11:55,-11.95,-75.28,44.2,28,65,1.3
192,Jalu,LY,2020-04-16 08:12:53,29.03,21.55,78.87,29,71,12.64
193,Port Shepstone,ZA,2020-04-16 08:14:21,-30.74,30.45,72.73,57,92,5.66
194,Namibe,AO,2020-04-16 08:09:54,-15.2,12.15,79.7,57,39,2.77
195,Neiafu,TO,2020-04-16 08:11:00,-18.65,-173.98,80.37,82,100,8.34
196,Lucapa,AO,2020-04-16 08:14:22,-8.42,20.74,82.0,57,84,1.9
197,Komsomolskiy,UZ,2020-04-16 08:11:21,40.43,71.72,60.8,48,13,2.24
198,Luan,CH,2020-04-16 08:14:23,46.36,6.98,61.0,43,82,2.24
199,Salalah,OM,2020-04-16 08:11:32,17.02,54.09,86.0,66,75,10.29
200,Sitka,US,2020-04-16 08:12:22,57.05,-135.33,44.6,93,90,3.36
201,Saint George,US,2020-04-16 08:07:14,37.1,-113.58,55.4,32,1,4.16
202,Yanliang,CN,2020-04-16 08:14:25,34.66,109.23,75.99,22,73,8.95
203,Verkhnyaya Inta,RU,2020-04-16 08:14:26,65.98,60.31,38.03,73,23,26.91
204,Stromness,GB,2020-04-16 08:11:08,58.97,-3.3,46.4,81,99,8.05
205,Tarauaca,BR,2020-04-16 08:14:26,-8.16,-70.77,71.06,91,100,4.63
206,Katihar,IN,2020-04-16 08:11:08,25.53,87.58,100.36,22,2,5.37
207,Cherskiy,RU,2020-04-16 08:09:25,68.75,161.3,8.35,94,100,3.69
208,Tangshan,CN,2020-04-16 08:09:56,39.63,118.18,50.0,45,11,4.0
209,Talcahuano,CL,2020-04-16 08:14:27,-36.72,-73.12,57.2,93,0,2.24
210,Deputatskiy,RU,2020-04-16 08:10:41,69.3,139.9,-1.97,87,100,5.41
211,Yambio,SS,2020-04-16 08:14:28,4.57,28.4,90.3,37,67,4.03
